Compound Name	Sample Type	Count
[PNNLMET0041] IS L-alanine d7 [7.729]	Plasma	55
[PNNLMET0041] IS L-alanine d7 [7.729]	Urine	32
[PNNLMET0043] IS octanoic acid d15 [9.751]	CSF	190
[PNNLMET0043] IS octanoic acid d15 [9.751]	Plasma	32
[PNNLMET0043] IS octanoic acid d15 [9.751]	Urine	32
[PNNLMET0047] IS L-tryptophan d5 1 [20.486]	Plasma	88
[PNNLMET0047] IS L-tryptophan d5 2 [20.625]	CSF	203
[PNNLMET0047] IS L-tryptophan d5 2 [20.625]	Plasma	60
[PNNLMET0047] IS L-tryptophan d5 2 [20.625]	Urine	33
[PNNLMET0059] N-formylglycine 2[M] [11.531]	Plasma	31
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	Plasma	30
[PNNLMET0075] D-ribose [15.360]	Fungi	21
[PNNLMET0075] D-ribose [15.360]	Soil Crust	11
[PNNLMET0075] D-ribose [15.360]	Standard	12
[PNNLMET0075] D-ribose [15.360]	Urine	30
[PNNLMET0076] D-xylose 2[M] [15.125]	Fungi	14
[PNNLMET0076] D-xylose 2[M] [15.125]	Soil Crust	14
[PNNLMET0076] D-xylose 2[M] [15.125]	Standard	12
[PNNLMET0076] D-xylose 2[M] [15.125]	Urine	60
[PNNLMET0077] D-arabinose [15.198]	Fungi	16
[PNNLMET0077] D-arabinose [15.198]	Standard	12
[PNNLMET0077] D-arabinose [15.198]	Urine	62
[PNNLMET0078] D-lyxose 2[M] [15.117]	CSF	204
[PNNLMET0078] D-lyxose 2[M] [15.117]	Fungi	1
[PNNLMET0078] D-lyxose 2[M] [15.117]	Soil Crust	3
[PNNLMET0084] lactose 2 [25.003]	Urine	32
[PNNLMET0104] ribitol [15.920]	CSF	1
[PNNLMET0104] ribitol [15.920]	Fungi	18
[PNNLMET0104] ribitol [15.920]	Soil Crust	12
[PNNLMET0104] ribitol [15.920]	Standard	2
[PNNLMET0104] ribitol [15.920]	Urine	63
4-hydroxyphenylacetic acid	Soil Crust	7
4-hydroxyphenylacetic acid	Urine	32
citric acid	CSF	203
citric acid	Fungi	19
citric acid	Plasma	3
citric acid	Urine	31
D-fructose [major]	CSF	192
D-fructose [major]	Fungi	18
D-fructose [major]	Soil Crust	13
D-fructose [major]	Standard	11
D-fructose [major]	Urine	29
D-fructose [minor]	CSF	14
D-fructose [minor]	Fungi	17
D-fructose [minor]	Soil Crust	13
D-fructose [minor]	Standard	12
D-galactose [major]	Fungi	9
D-galactose [major]	Soil Crust	6
D-galactose [major]	Standard	14
D-galactose [major]	Urine	32
D-glucose [major]	CSF	52
D-glucose [major]	Fungi	23
D-glucose [major]	Plasma	34
D-glucose [major]	Soil Crust	15
D-glucose [major]	Standard	14
D-glucose [major]	Urine	29
D-glucose [minor]	CSF	201
D-glucose [minor]	Fungi	17
D-glucose [minor]	Plasma	33
D-glucose [minor]	Soil Crust	15
D-glucose [minor]	Standard	4
D-glucose [minor]	Urine	33
D-mannose [major]	Fungi	3
D-mannose [major]	Soil Crust	5
D-mannose [major]	Standard	14
D-mannose [major]	Urine	25
ethanolamine	CSF	193
ethanolamine	Fungi	15
ethanolamine	Plasma	25
ethanolamine	Soil Crust	10
ethanolamine	Standard	2
glycine	CSF	70
glycine	Fungi	11
glycine	Soil Crust	6
glycine	Standard	5
glycine	Urine	64
L-alanine [major]	CSF	70
L-alanine [major]	Fungi	14
L-alanine [major]	Plasma	64
L-alanine [major]	Soil Crust	14
L-alanine [major]	Standard	10
L-alanine [major]	Urine	64
L-aspartic acid [major]	Fungi	2
L-aspartic acid [major]	Plasma	16
L-aspartic acid [major]	Standard	14
L-cysteine [major]	Fungi	7
L-cysteine [major]	Plasma	26
L-cysteine [major]	Standard	6
L-glutamic acid [major]	Fungi	14
L-glutamic acid [major]	Plasma	85
L-glutamic acid [major]	Soil Crust	10
L-glutamic acid [major]	Standard	7
L-glutamine [major]	CSF	204
L-glutamine [major]	Plasma	82
L-glutamine [major]	Standard	3
L-glutamine [major]	Urine	14
L-glutamine [minor 2]	CSF	204
L-glutamine [minor 2]	Standard	4
L-glutamine [minor 2]	Urine	31
L-isoleucine [major]	CSF	198
L-isoleucine [major]	Fungi	10
L-isoleucine [major]	Plasma	88
L-isoleucine [major]	Soil Crust	4
L-isoleucine [major]	Standard	14
L-isoleucine [major]	Urine	22
L-leucine [major]	CSF	131
L-leucine [major]	Fungi	12
L-leucine [major]	Plasma	86
L-leucine [major]	Soil Crust	7
L-leucine [major]	Standard	11
L-lysine [major]	Fungi	2
L-lysine [major]	Plasma	24
