Sample name,Compound Name,Retention Time
GCMS_FAMEs_01_GCMS02_20170201,[C24] Methyl Linocerate [24.603],24.4899333333333
GCMS_FAMEs_01_GCMS02_20170201,[C26] Methyl Hexacosanoate [26.023],25.8848666666667
GCMS_FAMEs_01_GCMS02_20170201,[C28] Methyl Octacosanoate [27.349],27.1859666666667
GCMS_FAMEs_01_GCMS02_20170202,[C8] Methyl Caprylate [7.812],7.88841666666667
GCMS_FAMEs_01_GCMS02_20170202,[C8] Methyl Caprylate [7.812],7.9322
GCMS_FAMEs_01_GCMS02_20170202,[C9] Methyl Pelargonate [9.248],8.58901666666667
GCMS_FAMEs_01_GCMS02_20170202,[C9] Methyl Pelargonate [9.248],9.21455
GCMS_FAMEs_01_GCMS02_20170202,[C10] Methyl Caprate [10.647],10.5344166666667
GCMS_FAMEs_01_GCMS02_20170202,[C10] Methyl Caprate [10.647],10.6908
GCMS_FAMEs_01_GCMS02_20170202,[C10] Methyl Caprate [10.647],10.9535166666667
GCMS_FAMEs_01_GCMS02_20170202,[C12] Methyl Laurate [13.250],12.9176833333333
GCMS_FAMEs_01_GCMS02_20170202,[C12] Methyl Laurate [13.250],13.2617333333333
GCMS_FAMEs_01_GCMS02_20170202,[C12] Methyl Laurate [13.250],13.3805833333333
GCMS_FAMEs_01_GCMS02_20170202,[C14] Methyl Myristate [15.597],15.5699333333333
GCMS_FAMEs_01_GCMS02_20170202,[C14] Methyl Myristate [15.597],15.5887
GCMS_FAMEs_01_GCMS02_20170202,[C16] Methyl Palmitate [17.723],17.4778
GCMS_FAMEs_01_GCMS02_20170202,[C16] Methyl Palmitate [17.723],17.5028166666667
GCMS_FAMEs_01_GCMS02_20170202,[C16] Methyl Palmitate [17.723],17.5090833333333
GCMS_FAMEs_01_GCMS02_20170202,[C16] Methyl Palmitate [17.723],17.703
GCMS_FAMEs_01_GCMS02_20170202,[C16] Methyl Palmitate [17.723],17.8844
GCMS_FAMEs_01_GCMS02_20170202,[C18] Methyl Stearate [19.663],19.3418833333333
GCMS_FAMEs_01_GCMS02_20170202,[C18] Methyl Stearate [19.663],19.3544
GCMS_FAMEs_01_GCMS02_20170202,[C18] Methyl Stearate [19.663],19.3856666666667
GCMS_FAMEs_01_GCMS02_20170202,[C18] Methyl Stearate [19.663],19.4044333333333
GCMS_FAMEs_01_GCMS02_20170202,[C18] Methyl Stearate [19.663],19.6046
GCMS_FAMEs_01_GCMS02_20170202,[C18] Methyl Stearate [19.663],19.6108666666667
GCMS_FAMEs_01_GCMS02_20170202,[C20] Methyl Eicosanoate [21.441],21.3498333333333
GCMS_FAMEs_01_GCMS02_20170202,[C20] Methyl Eicosanoate [21.441],21.36235
GCMS_FAMEs_01_GCMS02_20170202,[C22] Methyl Docosanoate [23.082],22.8010666666667
GCMS_FAMEs_01_GCMS02_20170202,[C22] Methyl Docosanoate [23.082],22.8073166666667
GCMS_FAMEs_01_GCMS02_20170202,[C22] Methyl Docosanoate [23.082],22.9824666666667
GCMS_FAMEs_01_GCMS02_20170202,[C22] Methyl Docosanoate [23.082],23.0012333333333
GCMS_FAMEs_01_GCMS02_20170202,[C22] Methyl Docosanoate [23.082],23.02
GCMS_FAMEs_01_GCMS02_20170202,[C24] Methyl Linocerate [24.603],24.48375
GCMS_FAMEs_01_GCMS02_20170202,[C26] Methyl Hexacosanoate [26.023],25.8724166666667
GCMS_FAMEs_01_GCMS02_20170202,[C28] Methyl Octacosanoate [27.349],27.1797833333333
GCMS_FAMEs_01_GCMS02_20170213,[C8] Methyl Caprylate [7.812],7.88205
GCMS_FAMEs_01_GCMS02_20170213,[C8] Methyl Caprylate [7.812],7.93208333333333
GCMS_FAMEs_01_GCMS02_20170213,[C8] Methyl Caprylate [7.812],7.93835
GCMS_FAMEs_01_GCMS02_20170213,[C9] Methyl Pelargonate [9.248],8.5889
GCMS_FAMEs_01_GCMS02_20170213,[C9] Methyl Pelargonate [9.248],9.21441666666667
GCMS_FAMEs_01_GCMS02_20170213,[C10] Methyl Caprate [10.647],10.5343
GCMS_FAMEs_01_GCMS02_20170213,[C10] Methyl Caprate [10.647],10.6906833333333
GCMS_FAMEs_01_GCMS02_20170213,[C10] Methyl Caprate [10.647],10.9534
GCMS_FAMEs_01_GCMS02_20170213,[C12] Methyl Laurate [13.250],13.2616
GCMS_FAMEs_01_GCMS02_20170213,[C14] Methyl Myristate [15.597],15.5885833333333
GCMS_FAMEs_01_GCMS02_20170213,[C16] Methyl Palmitate [17.723],17.49645
GCMS_FAMEs_01_GCMS02_20170213,[C16] Methyl Palmitate [17.723],17.6653333333333
GCMS_FAMEs_01_GCMS02_20170213,[C16] Methyl Palmitate [17.723],17.6966166666667
GCMS_FAMEs_01_GCMS02_20170213,[C18] Methyl Stearate [19.663],19.3417666666667
GCMS_FAMEs_01_GCMS02_20170213,[C18] Methyl Stearate [19.663],19.3918
GCMS_FAMEs_01_GCMS02_20170213,[C18] Methyl Stearate [19.663],19.4043166666667
GCMS_FAMEs_01_GCMS02_20170213,[C18] Methyl Stearate [19.663],19.6044833333333
GCMS_FAMEs_01_GCMS02_20170213,[C18] Methyl Stearate [19.663],19.62325
GCMS_FAMEs_01_GCMS02_20170213,[C20] Methyl Eicosanoate [21.441],21.3622166666667
GCMS_FAMEs_01_GCMS02_20170213,[C22] Methyl Docosanoate [23.082],22.7884333333333
GCMS_FAMEs_01_GCMS02_20170213,[C22] Methyl Docosanoate [23.082],22.80095
GCMS_FAMEs_01_GCMS02_20170213,[C22] Methyl Docosanoate [23.082],22.81345
GCMS_FAMEs_01_GCMS02_20170213,[C22] Methyl Docosanoate [23.082],22.9635833333333
GCMS_FAMEs_01_GCMS02_20170213,[C22] Methyl Docosanoate [23.082],22.9761
GCMS_FAMEs_01_GCMS02_20170213,[C22] Methyl Docosanoate [23.082],22.9948666666667
GCMS_FAMEs_01_GCMS02_20170213,[C24] Methyl Linocerate [24.603],24.4586
GCMS_FAMEs_01_GCMS02_20170213,[C24] Methyl Linocerate [24.603],24.4773666666667
GCMS_FAMEs_01_GCMS02_20170213,[C24] Methyl Linocerate [24.603],24.4961333333333
GCMS_FAMEs_01_GCMS02_20170213,[C26] Methyl Hexacosanoate [26.023],25.87855
GCMS_FAMEs_01_GCMS02_20170213,[C28] Methyl Octacosanoate [27.349],27.17965
GCMS_FAMEs_01_GCMS02_20170213,[C28] Methyl Octacosanoate [27.349],27.1859166666667
GCMS_FAMEs_01_GCMS02_20170214,[C8] Methyl Caprylate [7.812],7.68203333333333
GCMS_FAMEs_01_GCMS02_20170214,[C8] Methyl Caprylate [7.812],7.87595
GCMS_FAMEs_01_GCMS02_20170214,[C8] Methyl Caprylate [7.812],7.91348333333333
GCMS_FAMEs_01_GCMS02_20170214,[C8] Methyl Caprylate [7.812],7.91975
GCMS_FAMEs_01_GCMS02_20170214,[C8] Methyl Caprylate [7.812],8.08238333333333
GCMS_FAMEs_01_GCMS02_20170214,[C9] Methyl Pelargonate [9.248],8.57655
GCMS_FAMEs_01_GCMS02_20170214,[C9] Methyl Pelargonate [9.248],8.72041666666667
GCMS_FAMEs_01_GCMS02_20170214,[C9] Methyl Pelargonate [9.248],9.20833333333333
GCMS_FAMEs_01_GCMS02_20170214,[C9] Methyl Pelargonate [9.248],9.26463333333333
GCMS_FAMEs_01_GCMS02_20170214,[C10] Methyl Caprate [10.647],10.0090166666667
GCMS_FAMEs_01_GCMS02_20170214,[C10] Methyl Caprate [10.647],10.1216166666667
GCMS_FAMEs_01_GCMS02_20170214,[C10] Methyl Caprate [10.647],10.278
GCMS_FAMEs_01_GCMS02_20170214,[C10] Methyl Caprate [10.647],10.5344666666667
GCMS_FAMEs_01_GCMS02_20170214,[C10] Methyl Caprate [10.647],10.6783333333333
GCMS_FAMEs_01_GCMS02_20170214,[C10] Methyl Caprate [10.647],10.69085
GCMS_FAMEs_01_GCMS02_20170214,[C10] Methyl Caprate [10.647],10.9535666666667
GCMS_FAMEs_01_GCMS02_20170214,[C12] Methyl Laurate [13.250],12.9177333333333
GCMS_FAMEs_01_GCMS02_20170214,[C12] Methyl Laurate [13.250],13.2617666666667
GCMS_FAMEs_01_GCMS02_20170214,[C12] Methyl Laurate [13.250],13.2742833333333
GCMS_FAMEs_01_GCMS02_20170214,[C12] Methyl Laurate [13.250],13.3806166666667
GCMS_FAMEs_01_GCMS02_20170214,[C14] Methyl Myristate [15.597],15.5824833333333
GCMS_FAMEs_01_GCMS02_20170214,[C14] Methyl Myristate [15.597],15.58875
GCMS_FAMEs_01_GCMS02_20170214,[C14] Methyl Myristate [15.597],15.65755
GCMS_FAMEs_01_GCMS02_20170214,[C16] Methyl Palmitate [17.723],17.4716
GCMS_FAMEs_01_GCMS02_20170214,[C16] Methyl Palmitate [17.723],17.4966166666667
GCMS_FAMEs_01_GCMS02_20170214,[C16] Methyl Palmitate [17.723],17.5153833333333
GCMS_FAMEs_01_GCMS02_20170214,[C16] Methyl Palmitate [17.723],17.6780166666667
GCMS_FAMEs_01_GCMS02_20170214,[C16] Methyl Palmitate [17.723],17.6905333333333
GCMS_FAMEs_01_GCMS02_20170214,[C16] Methyl Palmitate [17.723],17.7093
GCMS_FAMEs_01_GCMS02_20170214,[C16] Methyl Palmitate [17.723],17.8781833333333
GCMS_FAMEs_01_GCMS02_20170214,[C18] Methyl Stearate [19.663],19.3356666666667
GCMS_FAMEs_01_GCMS02_20170214,[C18] Methyl Stearate [19.663],19.3419333333333
GCMS_FAMEs_01_GCMS02_20170214,[C18] Methyl Stearate [19.663],19.3919666666667
GCMS_FAMEs_01_GCMS02_20170214,[C18] Methyl Stearate [19.663],19.4107333333333
GCMS_FAMEs_01_GCMS02_20170214,[C18] Methyl Stearate [19.663],19.5858833333333
GCMS_FAMEs_01_GCMS02_20170214,[C18] Methyl Stearate [19.663],19.60465
GCMS_FAMEs_01_GCMS02_20170214,[C20] Methyl Eicosanoate [21.441],21.3561333333333
GCMS_FAMEs_01_GCMS02_20170214,[C20] Methyl Eicosanoate [21.441],21.3624
GCMS_FAMEs_01_GCMS02_20170214,[C20] Methyl Eicosanoate [21.441],21.4437166666667
GCMS_FAMEs_01_GCMS02_20170214,[C22] Methyl Docosanoate [23.082],22.79485
GCMS_FAMEs_01_GCMS02_20170214,[C22] Methyl Docosanoate [23.082],22.8011166666667
GCMS_FAMEs_01_GCMS02_20170214,[C22] Methyl Docosanoate [23.082],22.97
GCMS_FAMEs_01_GCMS02_20170214,[C22] Methyl Docosanoate [23.082],22.9762666666667
GCMS_FAMEs_01_GCMS02_20170214,[C24] Methyl Linocerate [24.603],24.4587666666667
GCMS_FAMEs_01_GCMS02_20170214,[C24] Methyl Linocerate [24.603],24.4775333333333
GCMS_FAMEs_01_GCMS02_20170214,[C26] Methyl Hexacosanoate [26.023],25.8537
GCMS_FAMEs_01_GCMS02_20170214,[C26] Methyl Hexacosanoate [26.023],25.8724666666667
GCMS_FAMEs_01_GCMS02_20170214,[C26] Methyl Hexacosanoate [26.023],25.8912333333333
GCMS_FAMEs_01_GCMS02_20170214,[C26] Methyl Hexacosanoate [26.023],25.9412666666667
GCMS_FAMEs_01_GCMS02_20170214,[C28] Methyl Octacosanoate [27.349],27.14855
GCMS_FAMEs_01_GCMS02_20170214,[C28] Methyl Octacosanoate [27.349],27.1548
GCMS_FAMEs_01_GCMS02_20170214,[C28] Methyl Octacosanoate [27.349],27.1735666666667
GCMS_FAMEs_01_GCMS02_20170214,[C28] Methyl Octacosanoate [27.349],27.1985833333333
GCMS_FAMEs_01_GCMS02_20170214,[C28] Methyl Octacosanoate [27.349],27.20485
GCMS_FAMEs_01_GCMS02_20170215,[C8] Methyl Caprylate [7.812],7.86961666666667
GCMS_FAMEs_01_GCMS02_20170215,[C8] Methyl Caprylate [7.812],7.88213333333333
GCMS_FAMEs_01_GCMS02_20170215,[C8] Methyl Caprylate [7.812],7.90715
GCMS_FAMEs_01_GCMS02_20170215,[C8] Methyl Caprylate [7.812],7.92591666666667
GCMS_FAMEs_01_GCMS02_20170215,[C8] Methyl Caprylate [7.812],7.93216666666667
GCMS_FAMEs_01_GCMS02_20170215,[C8] Methyl Caprylate [7.812],8.07605
GCMS_FAMEs_01_GCMS02_20170215,[C9] Methyl Pelargonate [9.248],8.57021666666667
GCMS_FAMEs_01_GCMS02_20170215,[C9] Methyl Pelargonate [9.248],9.20825
GCMS_FAMEs_01_GCMS02_20170215,[C9] Methyl Pelargonate [9.248],9.26455
GCMS_FAMEs_01_GCMS02_20170215,[C10] Methyl Caprate [10.647],10.0089333333333
GCMS_FAMEs_01_GCMS02_20170215,[C10] Methyl Caprate [10.647],10.1215333333333
GCMS_FAMEs_01_GCMS02_20170215,[C10] Methyl Caprate [10.647],10.27165
GCMS_FAMEs_01_GCMS02_20170215,[C10] Methyl Caprate [10.647],10.5343833333333
GCMS_FAMEs_01_GCMS02_20170215,[C10] Methyl Caprate [10.647],10.6845
GCMS_FAMEs_01_GCMS02_20170215,[C10] Methyl Caprate [10.647],10.6907666666667
GCMS_FAMEs_01_GCMS02_20170215,[C10] Methyl Caprate [10.647],10.7032666666667
